584	304	271	456	549	655	972	341	691	630	
518	204	939	952	227	540	500	576	95	722	
747	185	411	509	196	466	784	158	929	239	
392	7	250	833	691	288	684	497	757	799	
946	555	800	95	171	139	993	263	195	648	
246	820	237	173	415	790	468	730	739	929	
780	768	758	77	760	7	673	969	853	772	
66	167	90	439	456	597	217	976	293	352	
179	703	265	702	142	773	765	735	18	931	
648	420	806	303	43	440	150	470	763	632	
699	449	7	61	311	419	35	798	797	186	
621	93	838	57	103	646	72	127	319	830	
694	751	489	959	455	26	509	475	973	339	
353	894	557	843	495	829	33	533	200	980	
405	881	28	347	458	386	864	609	409	130	
996	914	959	818	436	9	211	447	252	464	
626	279	775	125	221	509	448	753	520	939	
342	349	250	871	436	169	959	333	792	394	
803	424	611	34	496	139	53	518	958	855	
804	671	110	653	504	32	988	542	619	8	
732	248	191	5	901	353	165	748	589	791	
671	181	392	127	648	727	593	640	109	938	
744	117	328	935	481	676	805	918	619	527	
907	228	113	84	501	300	139	99	901	718	
358	589	382	863	542	95	624	700	968	92	
65	248	582	35	626	162	906	740	369	79	
48	941	945	938	152	632	404	55	891	777	
782	727	296	343	105	569	345	361	239	616	
196	100	458	373	802	138	738	620	939	84	
325	673	338	124	292	654	764	504	72	575	
386	369	387	71	916	385	728	1	998	856	
67	12	664	46	267	962	729	169	727	490	
294	394	834	717	471	114	483	746	204	236	
717	910	344	605	770	0	398	892	856	54	
489	342	415	173	488	630	132	324	770	806	
897	994	811	493	40	265	751	198	541	702	
245	54	288	708	287	242	842	788	631	10	
230	201	108	13	566	139	64	202	966	864	
199	453	360	503	62	399	487	945	529	554	
752	778	819	614	904	32	11	347	193	418	
32	467	310	907	512	672	602	907	308	759	
201	172	589	448	75	133	469	61	2	12	
935	979	152	896	593	646	525	999	203	811	
603	263	234	867	30	581	848	133	958	984	
216	725	197	94	64	576	81	927	245	200	
616	429	310	467	145	701	14	677	928	506	
33	422	660	956	674	580	971	709	396	816	
489	404	799	869	47	705	74	872	994	28	
1	618	508	783	787	104	850	909	115	696	
540	420	569	47	555	279	959	905	531	113	
632	123	782	105	527	777	122	32	447	411	
922	940	911	252	101	598	721	155	362	734	
258	546	922	568	704	562	767	573	352	377	
169	273	148	158	111	918	146	372	461	233	
825	5	380	586	199	43	479	51	349	902	
438	875	11	371	897	324	221	184	717	817	
87	262	707	849	552	725	808	514	368	521	
79	882	375	434	763	628	779	616	641	619	
826	462	77	340	642	754	697	437	821	884	
609	89	754	271	811	221	581	59	638	771	
18	268	148	477	458	479	96	132	686	154	
817	972	158	404	87	351	714	714	629	284	
202	17	363	269	800	714	125	859	706	254	
797	726	248	643	411	282	591	283	14	449	
44	398	798	938	413	719	52	423	780	636	
764	627	705	955	409	161	490	432	847	550	
973	175	166	312	152	704	385	767	431	669	
856	694	799	134	785	328	528	95	991	641	
725	738	417	554	936	531	269	238	15	175	
873	74	365	355	808	414	992	723	184	756	
483	943	481	463	624	656	662	109	241	858	
750	434	553	72	301	829	74	74	911	110	
18	772	700	19	855	159	996	310	599	27	
490	721	179	269	448	940	616	170	34	12	
682	710	897	883	978	469	184	169	817	683	
860	873	625	841	446	537	949	152	124	135	
471	23	447	639	327	516	962	136	317	771	
224	658	729	400	71	683	955	104	166	726	
16	651	804	168	855	429	491	831	920	79	
768	536	294	752	822	83	189	176	746	198	
972	751	895	295	899	934	483	14	28	98	
763	9	5	194	649	684	504	887	352	485	
664	699	530	271	801	338	730	473	592	542	
659	280	722	190	341	905	746	277	870	966	
331	177	878	790	534	100	816	23	577	687	
267	801	716	689	315	720	391	224	357	182	
275	723	780	650	451	332	872	570	304	593	
398	942	552	92	141	906	455	177	820	727	
870	307	114	734	836	561	436	564	734	87	
876	643	790	922	991	770	893	473	843	888	
78	405	268	378	389	779	848	680	611	149	
132	701	521	185	957	213	96	203	139	181	
236	336	392	610	428	270	878	833	165	358	
676	575	394	929	35	523	968	222	271	172	
805	686	541	15	637	326	37	3	271	867	
453	913	859	597	486	124	399	7	224	126	
513	100	182	25	104	950	36	286	112	479	
338	5	114	829	817	140	397	873	538	185	
19	737	644	332	121	26	488	285	790	47	
763	425	826	255	557	605	305	889	370	147	
